中央台,#genre#
天元围棋,http://58.248.112.203:8006/GD_CUCC/G_TIANYUANWQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oShOv%2BYcLGXjIDOSPvEdjQEFLXpyntAbB16a%2FqWixFCM
西藏卫视,http://58.248.112.203:8006/GD_CUCC/G_XIZANG.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oa0Qq60DjA%2BivViH93VyePc78Vl9Njp6vsQS74nQr3yE
新疆卫视,http://58.248.112.203:8006/GD_CUCC/G_XINJIANG.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4ofjy9HK9K%2FCTDCD1VALhDlcCCdlqdHfBir%2FoHRyVAxOs
徐闻综合,http://58.248.112.203:8006/GD_CUCC/zanjiang01.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oR2i1cgO7LtMVyHGEbW09CkCCdlqdHfBir%2FoHRyVAxOs
延边卫视,http://58.248.112.203:8006/GD_CUCC/G_YANBIAN.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4obWOCNoA%2F4hHMANN7mhbnGQqkbAAUAEC6ptBSL5hKmgq
优漫卡通,http://58.248.112.203:8006/GD_CUCC/G_YOUMAN.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4odroWD%2FD4WAodclJuxRFjhw78Vl9Njp6vsQS74nQr3yE
云南卫视,http://58.248.112.203:8006/GD_CUCC/G_YUNNAN-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4ob4JBBX5jGkhIMK8KAFCghW0DD3topoplB8GotUqozed
浙江卫视,http://58.248.112.203:8006/GD_CUCC/G_ZHEJIANG-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4odr3tmmw%2BL49D6e6Yw0TfYxwefcZI7o%2F5o7ldtIFQL8x
中华美食,http://58.248.112.203:8006/GD_CUCC/G_ZHONGHUAMS.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oV3PU3p0Usv8FjOEENDSW4wAeBbcI4c5TOMpbyyRByBX
重庆卫视,http://58.248.112.203:8006/GD_CUCC/G_CHONGQING-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oS5XA1hsd3RREgysPiqqJeRakaTuiIiS0YmD%2FL5ZZKlX
梅州综合,http://58.248.112.203:8006/GD_CUCC/meizhou1.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4ocVvD%2B1Wsmy5c8Q%2Fj0t01yVFFt3imJz021zlmVL3C10h
客家生活,http://58.248.112.203:8006/GD_CUCC/meizhou2.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4of89ckVxBgliEjhxCdGAcz5FFt3imJz021zlmVL3C10h
动物园101,http://58.248.112.203:8006/GD_CUCC/G_ZOO-101.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oby%2FzA5YiiYpESK53tYqkB768DWKlZFrVq92HfPt20E%2B
动物园102,http://58.248.112.203:8006/GD_CUCC/G_ZOO-102.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oYx%2F93inGQm9g3uP9csRB4X68DWKlZFrVq92HfPt20E%2B
动物园201,http://58.248.112.203:8006/GD_CUCC/G_ZOO-201.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4ofg65eNW8D%2B67HBQHivuAyD68DWKlZFrVq92HfPt20E%2B
动物园301,http://58.248.112.203:8006/GD_CUCC/G_ZOO-301.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4obqCHoqhbru41IFanTL6yvApZs0y46j%2BpJ%2F8iwn%2FwMzZ
动物园401,http://58.248.112.203:8006/GD_CUCC/G_ZOO-401.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4obnRDePhP4j%2FiWxmp1ULYkwpZs0y46j%2BpJ%2F8iwn%2FwMzZ
动物园501,http://58.248.112.203:8006/GD_CUCC/G_ZOO-501.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oSdaBnTGoyEu0dkN%2BB7%2F%2BCcpZs0y46j%2BpJ%2F8iwn%2FwMzZ
动物园801,http://58.248.112.203:8006/GD_CUCC/G_ZOO-801.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oebWwt6EykioOdHqYg3gjbcpZs0y46j%2BpJ%2F8iwn%2FwMzZ
